"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 21:38:55 IST 2023","Tue Dec 12 21:39:29 IST 2023","33753","Default Suite","Advance_Selenium_FrameworK_","org.example.VWOLogin_tests.Katloan_RC_Runner","org.example.VWOLogin_tests.Katloan_RC_Runner","testLoginPositive","testLoginPositive",""
"passed","Tue Dec 12 21:37:37 IST 2023","Tue Dec 12 21:38:30 IST 2023","53005","Default Suite","Advance_Selenium_FrameworK_","org.example.VWOLogin_tests.Katloan_RC_Runner","org.example.VWOLogin_tests.Katloan_RC_Runner","testLoginNegative","testLoginNegative",""
